name,aisle,climate,veganAlternative,description,,
Mint tea,,,,,,
Mung beans,,,,,,
Mushrooms,,,,,,
Muskmelon,,,,,,
Mussels,,,,,,
Mustard,,,,,,
Mustard greens,,,,,,
Mustard oil,,,,,,
Mutton,,,,,,
Navy beans,,,,,,
Oatmeal,,,,,,
Oats,,,,,,
Octopus,,,,,,
Ohyo,,,,,,
Olive oil,,,,,,
Olives,,,,,,
Onions,,🟢 A (0.5),,,,
Oranges,,,,,,
Oregano,,,,,,
Oysters,,,,,,
Papaya,,,,,,
Papaya seeds,,,,,,
Paprika,,,,,,
Parsley,,,,,,
Parsnips,,,,,,
Partially-hydrogen. oil,,,,,,
Passion fruit,,,,,,
Pâtés,,,,,,
Paw paw,,,,,,
Peaches,,,,,,
Peanut oil,,,,,,
Peanuts,,,,,,
Pears,🍌 Fruit,,,,,
Peas,,,,,,
Pecans,,,,,,
Peppermint,,,,,,
Persipan,,,,,,
Pesto sauce,,,,,,
Pickled papaya,,,,,,
Pickled watermel. rind,,,,,,
Pickles,,,,,,
Pineapple,,,,,,
Pinto beans,,,,,,
Pistachio nuts,,,,,,
Plantago,,,,,,
Plantains,,,,,,
Plums,,,,,,
Pomegranate juice,,,,,,
Pomegranates,,,,,,
Pork,🥩 Meat,🟡 C (12),jackfruit,,,
Portobello mushrooms,,,,,,
Potatoes,,,,,,
Prunes,,,,,,
Pumpkin seeds,,,,,,
Pumpkins,,,,,,
Radicchio,,,,,,
Radish,,,,,,
Raisins,,,,,,
Rapeseed oil,,,,,,
Rapini,,,,,,
Raspberries,,,,,,
Red bean paste,,,,,,
Red beans,,,,,,
Red cabbage,,,,,,
Red currants,,,,,,
Red onions,,,,,,
Red pepper flakes,,,,,,
Red pepper paste,,,,,,
Red rice,,,,,,
Red spinach,,,,,,
Red wine vinegar,,,,,,
Reishi mushrooms,,,,,,
Rhubarb,,,,,,
Ribs,,,,,,
Rice,🌾 Grains,🟡 B (4.5),,,,
Rice bran,,,,,,
Rice bran oil,,,,,,
Rice wine vinegar,,,,,,
Risotto,,,,,,
Roast beef,,,,,,
Roasted almonds,,,,,,
Roasted pork,,,,,,
Roe,,,,,,
Rolled oats,,,,,,
Romaine lettuce,,,,,,
Rosemary,,,,,,
Rutabagas,,,,,,
Rye,,,,,,
Safflower oil,,,,,,
Saffron,,,,,,
Sage,,,,,,
Sage tea,,,,,,
Salmon,,,,,,
Salt,,,,,,
Sardines,,,,,,
Sauerkraut,,,,,,
Sausages,,,,,,
Scallions,🥬 Produce,,,,,
Scallops,,,,,,
Seaweed,,,,,,
Sesame oil,Pantry,,,,,
Sesame seeds,,,,,,
Shallots,,,,,,
Shellfish,,,,,,
Shiitake mushrooms,,,,,,
Shrimp,,,,,,
Smoked mackerel,,,,,,
Snails,,,,,,
Snow peas,,,,,,
Soba noodles,,,,,,
Soy infant formula,,,,,,
Soy milk,,,,,,
Soy protein bars,,,,,,
Soy protein isolate,,,,,,
Soybean curd,,,,,,
Soybean oil,,,,,,
Soybeans,,,,,,
Spaghetti squash,,,,,,
Spearmint,,,,,,
Spinach,,,,,,
Split peas,,,,,,
Squash,,,,,,
Steak,,,,,,
Strawberries,,,,,,
String beans,,,,,,
Subtropical ginger,,,,,,
Sugar,🍞 Baking,,,,,
Sugar beets,,,,,,
Sugar snap peas,,,,,,
Summer squash,,,,,,
Sunflower oil,,,,,,
Sunflower seeds,,,,,,
Sweet peas,,,,,,
Sweet potatoes,,,,,,
Tabasco sauce,,,,,,
Tahini,,,,,,
Tallow,,,,,,
Tangerines,,,,,,
Tartary buckwheat,,,,,,
Tea,,,,,,
Thyme,,,,,,
Tofu,,,,,,
Tomato paste,,,,,,
Tomatoes,,,,,,
Tropical ginger,,,,,,
Turkey,,,,,,
Turkey bacon,,,,,,
Turmeric,,,,,,
Turnip greens,,,,,,
Turnips,,,,,,
Veal,,,,,,
Vinegar,Pantry,,,,,
Wakame,,,,,,
Walnut oil,,,,,,
Walnuts,,,,,,
Wasabi,,,,,,
Watercress,,,,,,
Watermelon,,,,,,
Watermelon seeds,,,,,,
Well-done meat,,,,,,
Wheat bran,,,,,,
Wheat germ,,,,,,
Wheat grass,,,,,,
White beans,,,,,,
White bread,,,,,,
White button mush.,,,,,,
White pepper,,,,,,
White tea,,,,,,
White vinegar,,,,,,
Whole wheat bread,,,,,,
Wild ginger,,,,,,
Wild rice,,,,,,
Wine,,,,,,
Winter squash,,,,,,
Yams,,,,,,
Yerba maté,,,,,,
Yogurt,,,,,,
Zucchini,,,,,,
